epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11338.3,1.27645,2.40832,1.27641,0.48052,0.10156,0.0628,0.04595,1.1335,3.4283,1.1741,0.00333327,0.00333327,0.00333327
2,22579.4,1.3004,2.24575,1.27346,0.57005,0.10028,0.06424,0.0473,1.12832,3.21908,1.17036,0.0064466,0.0064466,0.0064466
3,33740.6,1.37004,2.3518,1.30995,0.57684,0.09776,0.06212,0.04566,1.14611,2.88617,1.18923,0.00933994,0.00933994,0.00933994
